Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"North Shore Libraries (SEE AP )","Public","Public Library","SeeRef","","NSP",", , Auckland",", , Auckland -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.7892","174.772595354546",
"Albany Village Public Library (MERGED with AP JULY 2012)","Public","Public Library","SeeRef","Te Whare Mätauranga o Albany","NSPAL",", , North Shore City",", , North Shore City -","","","","","","North Shore Public Libraries, Albany Village Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","","","","","","","","","","","","North Shore City","","-36.7251953238818","174.694440134369",
"Birkenhead Public Library (SEE AP)","Public","Public Library","SeeRef","Te Whare Matauranga o Birkenhead","NSPBK",", , Auckland",", , Auckland -","","","","","","North Shore Public Libraries, Auckland Libraries, Birkenhead Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.7956770347978","174.729244073469",
"Devonport Public Library (SEE AP )","Public","Public Library","SeeRef","","NSPDV",", , North Shore City",", , North Shore City -","","","","","","North Shore Public Libraries, Devonport Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","North Shore City","","-36.8288139085846","174.797883383932",
"East Coast Bays Public Library (SEE AP)","Public","Public Library","SeeRef","","NSPEC",", , North Shore City",", , North Shore City -","","","","","","North Shore Public Libraries, East Coast Bays Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","North Shore City","","-36.7144207775983","174.747183618751",
"Glenfield Public Library (SEE AP )","Public","Public Library","SeeRef","","NSPGF",", , Auckland",", , Auckland -","","","","","","Auckland Libraries, Glenfield Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","","","","","","","","","","","","Auckland","Auckland","-36.7811677260291","174.7230096148",
"Northcote Public Library (SEE AP )","Public","Public Library","SeeRef","","NSPNC",", , North Shore City",", , North Shore City -","","","","","","North Shore Public Libraries, Northcote Public Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","","","","","","","","","","","","North Shore City","","-36.8012900954557","174.747104059669",
"Takapuna Public Library (SEE AP )","Public","Public Library","SeeRef","","NSPTK",", , North Shore City",", , North Shore City -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","","","","","","","","","","","","North Shore City","","-36.7893","174.772595354546",
"National University of Samoa Learning Resource Centre (Library)","Tertiary","Tertiary","Active","Le Iunivesite Aoao o Samoa","NUSL","Le-Papaigalagala Campus, Vaivase, Apia","PO Box 1622, Vaivase, Apia -","www.nus.edu.ws","+685 21428 x 300 / 366","+685 22440 / 20938","library@nus.edu.ws","Airmail all items. All charges in Samoan $ - contact library for details.  NUS Library staff. Responsible for returning Interloan material (books).","National University of Samoa Library","F","HealthLibs Network, NUS","Togi Tunupopo","University Librarian","t.tunupopo@nus.edu.ws","+685 22440 / 20938","+685 21428 x 300","Ulaatoa Tagoloa","","library@nus.edu.ws","+685 21428 x 366","","","","","","","F","F","F","tba","","30","","","","","","","","","","Apia","","-13.840913","-171.748238",
"New Zealand Youth Choir","Other","Music Hire","Active","","NZYC","84-88 Dixon Street, Level 5, Wellington","PO Box 11 046, Manners Street, Wellington - 6142","","+64 4 802 4047","+64 4 802 4069","choirs@nzyc.co.nz","","","","","NZYC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Wellington","Wellington","","",
"Waitaki District Libraries","Public","Public Library","Active","","OP","62 Thames Street, , Oamaru","PO Box 134, , Oamaru - 9444","library.waitaki.govt.nz","+64 3 433 0850","+64 3 433 0359","library@waitaki.govt.nz","No items under 6 months old  lent.","Waitaki District Libraries, Oamaru Public Library","T","","Philip van Zijl","District Library Manager","pvanzijl@waitaki.govt.nz","+64 3 433 0359","+64 3 433 0851","Christopher Meech","Interloans / Reference Librarian","library@waitaki.govt.nz","+64 3 433 0842","","","","","","","T","T","T","Charter","T","14","15","14","15","Urgent copy/loan: $10 post/courier charge.","","14","20","14","20","Oamaru","Otago","-45.0998830837341","170.969853881071",
"Opotiki District Library","Public","public library","Active","","OPOP","101 Church Street, , Opotiki","PO Box 44, , Opotiki - 3162","http://www.odc.govt.nz/services-facilities/library.aspx","+64 7 315 6170","+64 7 315 7261","library@odc.govt.nz","","","T","","Nethia Morgan","Library Manager (& Interloans)","library@odc.govt.nz","+64 7 315 7261","+64 7 315 6170","Nethia Morgan","Interloans Librarian","library@odc.govt.nz","+64 7 315 6170","","","","","","","T","T","T","Charter","T","15","15","15","15","Free to reciprocating libraries","","20","24","20","24","Opotiki","Bay of Plenty","-38.0061917443784","177.284379383296",
"Otorohanga District Library","Public","public library","Active","Matapihi","OTG","27 Turongo Street, , Otorohanga","PO Box 11, , Otorohanga - 3940","http://www.otorohangalibraries.org.nz/","+64 7 873 7175","","otolib@xtra.co.nz","","","T","","Sarah Osborne","District Librarian","otolib@xtra.co.nz","+64 7 873 7180","+64 7 873 7175","Interloans Contact","Interloans Librarian","","+64 7 873 7175","","","","","","","T","T","T","Charter","T","14","25","14","25","","","14","30","14","30","Otorohanga","Waikato","-38.1856459331233","175.210148786367",
"Counties Manukau DHB Library","Other","Health","Active","","OTM","Hospital Road, Otahuhu, Auckland","Private Bag 93 311, Otahuhu, Auckland - 1640","","+64 9 276 0172","+64 9 270 4720","interloans@middlemore.co.nz","","Manukau, Counties, DHB Library","T","HealthLibs Network","0","","","","","Heather Steedman","Joint Interloans Librarian","interloans@middlemore.co.nz","+64 9 276 0172","","Patricia Hayward","","","","","T","T","T","Charter","0","14","14","14","14","Reciprocal charges apply if charged above the standard rate. Urgents: Charge if charged.","","20","20","20","20","Auckland","Auckland","-36.9388","174.8542",
"Te Wananga o Raukawa & Te Whare Pukapuka","Tertiary","Tertiary","Active","Te Wananga o Raukawa","OTWR","144 Tasman Road, , Otaki","PO Box 119, , Otaki - 5542","www.twor.ac.nz","+64 6 364 9011 Ext. 721","+64 6 364 9013","maewa.kaihau@twor-otaki.ac.nz","","Wananga o Raukawa & Te Whare Pukapuka, Te","T","","Maewa Kaihau","Manager","maewa.kaihau@twor-otaki.ac.nz","+64 6 364 9013","+64 6 364 9011 Ext. 721","Maewa Kaihau","Interloans Contact","maewa.kaihau@twor-otaki.ac.nz","+64 6 364 9011 Ext. 721","","","","","","","T","T","T","Charter","T","14","20","14","20","","","14","20","14","20","Otaki","Wellington","-40.751318644953","175.135467081642",
"The Sir Edmund Hillary Public Library (MERGED WITH AP JULY 2012)","Public","Public Library","SeeRef","","PAPP",", , Auckland",", , Auckland -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-37.0639029226938","174.941616060615",
"Plant & Food Research Palmerston North Library (SEE AS )","Other","Research","SeeRef","","PCF",", , Palmerston North",", , Palmerston North -","","","","l","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Palmerston North","Manawatu-Whanganui","-40.3780004780759","175.614282547326",
"Fonterra Research Centre Limited, Library","Other","Research","Active","","PDA","Dairy Farm Road, Fitzherbert West, Palmerston North","Private Bag 11 029, , Palmerston North - 4442","www.fonterra.com","+64 6 350 4649","+64 6 356 1476","Infoconnect@fonterra.com","","","T","","Johnston Connelly","Manager, Information & Library Services","Infoconnect@fonterra.com","+64 6 356 1476","+64 6 350 6591","Interloans Contact","Interloans Contact","Infoconnect@fonterra.com","+64 6 350 4649","","","","","","","T","T","T","Charter","T","14","25","14","25","$45 same day courier/fax or fastpost delivery.","","45","45","45","45","Palmerston North","Manawatu-Whanganui","-40.3778546073983","175.606006189189",
"ESR Kenepuru Science Centre, Information and Research Services","Other","research","Active","","PESR","34 Kenepuru Drive, , Porirua","PO Box 50 348, , Porirua 5240 -","www.esr.cri.nz","+64 4 914 0700","+64 4 914 0770","library.ksc@esr.cri.nz","","Institute of Environmental Science & Research, ESR Kenepuru Science Centre Information & Research Services","T","","Beryl Anderson","Information Security Manager","beryl.anderson@esr.cri.nz","+64 4 914 0770","+64 4 914 0796","Rebecca Young","Interloans Librarian","library.ksc@esr.cri.nz","+64 4 917 5028","","","","","","","T","T","T","Charter","T","20","20","20","20","Reciprocal arrangements to CRIs","","30","30","30","30","Porirua","Wellington","-41.1476279722173","174.83973871097",
"Wellington Institute of Technology Learning Resource Centre","Tertiary","Polytechnic","Active","Te Whare Wananga o Te Awakairangi","PETE","Kensington Ave , Petone, Wellington","Private Bag 39 803, Wellington Mail Centre, Wellington - 5045","www.weltec.ac.nz","+64 4 920 2528","+64 4 920 2424","interloans@weltec.ac.nz","","WIT Learning Resource Centre","T","","Mary Weddell","Learning Resource Centre Manager","Mary.Weddell@weltec.ac.nz","+64 4 920 2478","+64 4 920 2528","Jill Whitmore","Interloans Librarian","interloans@weltec.ac.nz","+64 4 920 2757","","","","","","","T","T","T","Charter","T","14","25","14","15","Copyright copying under the Act - costs to be negotiated. Reciprocal Arrangements with other Polytechnics by agreement.","All international copies will be delivered electronically. Please supply an email address when requesting copies.","20","25","15","15","Wellington","Wellington","-41.2283371153781","174.880747856132",
"New Zealand School of Export","Other","Tertiary","Active","","PEX","Aokautere Park, 75 Staces Road, Palmerston North","Aokautere Park, 75 Staces Road, Palmerston North - 4471","www.export.ac.nz","+64 6 356 5656 x701","+64 6 356 5656","graeme@export.ac.nz","","","","","Graeme Siddle","Manager","graeme@export.ac.nz","+64 6 356 1057","+64 6 356 5656 x701","Graeme Siddle","Manager","graeme@export.ac.nz","+64 6 356 5656 x701","","","","","","","","","","tba","","","","","","","","","","","","Palmerston North","Manawatu-Whanganui","","",
"International Pacific College Library","Tertiary","Tertiary","Active","","PIPC","Aokautere Drive, , Palmerston North","Private Bag 11 021, , Palmerston North - 4442","www.library.ipc.ac.nz","+64 6 350 2858","+64 6 355 5299","library@ipc.ac.nz","","","T","","Tracey Armstrong","","tarmstrong@ipc.ac.nz","+64 6 355 5299","+64 6 350 2857","Janet Anderson","Interloans Contact","library@ipc.ac.nz","+64 6 350 2858","","","","","","","F","T","T","Charter","T","14","14","14","14","","","14","14","14","14","Palmerston North","Manawatu-Whanganui","-40.3750138750781","175.650747283929",
"New Zealand Leather & Shoe Research Association Inc. Library","Other","Research","Active","","PLE","Fitzherbert Science Centres, Dairy Farm Road, Palmerston North","PO Box 8094, Hokowhitu, Palmerston North - 4446","www.lasra.co.nz","+64 6 355 9028","+64 6 354 1185","library@lasra.co.nz","","NZ Leather & Shoe Research Association Library","T","","Anne Odogwu","Library Manager","library@lasra.co.nz","+64 6 354 1185","+64 6 355 9028","Anne Odogwu","Library Manager","library@lasra.co.nz","+64 6 355 9028","","","","","","","F","F","T","Charter","F","14","14","14","14","","","14","14","14","14","Palmerston North","Manawatu-Whanganui","-40.3778","175.606006189189",
"MidCentral Health, Centennial Clinical Library","Other","Health","Active","","PM","Heretaunga Street, , Palmerston North","Private Bag 11 036, , Palmerston North - 4442","","+64 6 350 8816","+64 6 350 8817","fiona.harkness@midcentraldhb.govt.nz","","Centennial Clinical Library, MidCentral District Health Board","T","HealthLibs Network","Fiona Harkness","Librarian, Library Services","fiona.harkness@midcentraldhb.govt.nz","+64 6 350 8817","+64 6 350 8812","Rose Hansen","Library Assistant","rose.hansen@midcentraldhb.govt.nz","+64 6 350 8816","","","","","","","T","T","T","Charter","T","14","","14","14","No charges to HealthLib Network Members.","","25","","25","25","Palmerston North","Manawatu-Whanganui","-40.337633233371","175.616308986602",
"National Library of New Zealand - Print Disabilities Service","Other","National Library","Active","Te Puna Matauranga o Aotearoa","PNA","Dockway 1, Aitken St, Wellington","PO Box 1467, , Wellington - 6140","","+64 4 474 3001","+64 4 385 8077","audiobook.request@dia.govt.nz","Restricted to registered libraries for use by print disabled clients only. Enquiries to the Print Disabilities Service Librarian, Felicity Benjes, ph 04 470 4445.","Print Disabilities Service, National Library of New Zealand","T","","Felicity Benjes","Print Disabilities Librarian","felicity.benjes@dia.govt.nz","+64 4 385 8077","+64 4 474 3001","0","Interloans Librarian","audiobook.request@dia.govt.nz","+64 4 474 3001","","","","","","","F","T","T","Charter","T","","","","","Urgents not available","International loans not available","","","","","Wellington","Wellington","-40.3303","175.630568271004",
"Whitireia Community Polytechnic Library","Tertiary","Polytechnic","Active","Te Kura Matatini o Whitireia","POCY","Wineera Drive, , Porirua","Private Bag 50 910, , Porirua  - 5240","www.whitireia.ac.nz","+64 4 237 3105","+64 4 237 3101","library@whitireia.ac.nz","PolyLib","","T","HealthLibs Network","Heather Bradley","Library Manager","heather.bradley@whitireia.ac.nz","+64 4 237 3101","+64 4 237 3105","Lesley Bashall","","library@whitireia.ac.nz","+64 4 237 3105","","","","","","","T","T","T","Charter","T","14","30","14","30","Non IBS requests $25.00","No international interloan requests please.","14","35","14","35","Porirua","Wellington","-41.1288441965549","174.840002554012",
"Capital & Coast District Health, Mental Health Library (SEE WM)","Other","Health","SeeRef","","POM",", , Wellington",", , Wellington -","","","","","","","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.3103","174.781",
"Porirua Public Library","Public","Public Library","Active","Te Ngähere o Te Mätauranga ki Porirua","POP","Cnr Norrie & Parumoana Sts, , Porirua","PO Box 50 218, , Porirua - 5240","www.pcc.govt.nz","+64 4 237 1533","+64 4 237 7320","jgrainger@pcc.govt.nz","","","T","","Brian Anderson","Library Manager","banderson@pcc.govt.nz","+64 4  237 7320","+64 4 237 1532","Jan Grainger","Interloans Librarian","jgrainger@pcc.govt.nz","+64 4 237 1536","","","","","","","T","T","T","Charter","T","","14","","14","No charges","","","14","","14","Porirua","Wellington","-41.132","174.8399",
"Palmerston North City Library","Public","Public Library","Active","Te Arawhanui o te Ao","PP","4-11 The Square, , Palmerston North","PO Box 1948, , Palmerston North - 4440","http://citylibrary.pncc.govt.nz/","+64 6 351 4100","+64 6 351 4102","pncl@pncc.govt.nz","","","T","","Anthony Lewis","Library Manager","anthony.lewis@pncc.govt.nz","+64 6 351 4102","+64 6 351 4100","Meredith Moughan","Interloans Librarian","intloans@pncc.govt.nz","+64 6 351 4104","","","","","","","T","T","T","Charter","T","14","14","14","14","","","30","45","30","45","Palmerston North","Manawatu-Whanganui","-40.3560207500141","175.609673077614",
"Universal College of Learning (UCOL) Library","Tertiary","Polytechnic","Active","Te Kuratini o Manawatu","PPY","Block 6, Queen Street, Palmerston North 4410","Private Bag 11 022, , Palmerston North 4442 -","www.ucol.ac.nz","+64 6 952 7000","+64 6 952 7019","library@ucol.ac.nz","","UCOL (Universal College of Learning) Library","T","","Doreen Young","Associate Director Learning Hub","d.young@ucol.ac.nz","+64 6 9527019","+64 69527001 x 70605","Margaret Wheeler","Interloans Librarian","interloans@ucol.ac.nz","+64 6 952 7001 x 70684","","","","","","","T","T","T","Charter","T","14","14","14","14","","","14","14","14","14","Palmerston North","Manawatu-Whanganui","-40.3527","175.6112",
"National Library of New Zealand - Palmerston North Service Centre, School Services","","National Library","Active","Te Puna Matauranga o Aotearoa","PSL","1015 Tremaine Ave, , Palmerston North","Private Bag 11 032, , Palmerston North - 4442","","+64 6 353 0475","+64 6 350 0961","cisreq@dia.govt.nz","","School Services, Palmerston North Service Centre, National Library of New Zealand","T","","Wendy Macaskill","Library Manager","wendy.macaskill@natlib.govt.nz","","+64 6 350 0963","Karen Yule","Reference Librarian (& Interloans Contact)","cisreq@dia.govt.nz","","","","","","","","F","T","T","Charter","T","","16","","14","Urgents not available","Urgents not available","","","","","Palmerston North","Manawatu-Whanganui","-40.3304","175.630568271004",
"Palmerston North Theosophical Society Library","Other","","Active","","PTS","304 Church Street, , Palmerston North","304 Church Street, , Palmerston North - 4410","http://www.theosophy.org.nz/index.php/branches/north-island/palmerston-north","+64 6 353 2310","","pn@theosophy.org.nz","","Theosophical Society Library, Palmerston North","F","","Anthea Cooper","Library Manager","antheaclement@gmail.com","","+64 6 353 6221","Anthea Cooper","Library Manager","antheaclement@gmail.com","+64 6 353 6221","","","","","","","F","F","F","tba","","","","","","","","","","","","Palmerston North","Manawatu-Whanganui","-40.3586609832014","175.608868349928",
"Massey University Library","Tertiary","University","Active","Te Putanga Ki Te Ao Matauranga","PU","Tennent Drive, , Palmerston North","Private Bag 11 054, , Palmerston North - 4442","library.massey.ac.nz","+64 6 350 5670 x7671","+64 6 350 5605","intloan@massey.ac.nz","All queries for interloan supply please contact library at Palmerston North. Albany Campus Library contacts - see APU. Wellington Campus Library contacts - see WPY.","","T","","John Redmayne","University Librarian","J.W.Redmayne@massey.ac.nz","+64 6 350 2257","+64 6 350 5670 x 7606","Anne Hall","Head of Document Supply (& Interloans contact)","a.hall@massey.ac.nz or intloan@massey.ac.nz","+64 6 350 5670 x 7671","","","","","","","F","T","T","Charter","T","14","14","14","14","All listed charges apply to Charter/Te Puna ILL users only. Non-Charter/Non Te Puna ILL user charges; $20 per loan/copy, urgent $40 per loan/copy.Non IBS libraries $25 per loan/copy and $45.00 per urgent loan/copy.","","34","34","34","34","Palmerston North","Manawatu-Whanganui","-40.3778","175.6224",
"Queenstown Lakes District Library","Public","Public Library","Active","","QP","10 Gorge Road, , Queenstown","Private Bag 50072, , Queenstown - 9348","libraries.codc-qldc.govt.nz","+64 3 441 0600","+64 3 450 1735","adele@qldc.govt.nz","","","T","","Adele Hewlett","ex Library Manager","adele@qldc.govt.nz","+64 3 450 1735","+64 3 441 0600","Lizzie Roberts","Interloans Contact","arrowtown@qldc.govt.nz","+64 3 442 1607","","","","","","","T","T","T","Charter","F","","14","","14","No charge unless charged","","14","14","14","14","Queenstown","Otago","-45.0286984228859","168.661700350383",
"Arrowtown Library","Public","public library","Active","","QPARR","8 Buckingham Street, , Arrowtown","8 Buckingham Street, , Arrowtown - 9032","http://www.codc-qldc.govt.nz/page.pasp?pageid=43","03 442 1607","03 442 0194","arrowtown.library@qldc.govt.nz","","","T","","0","","","","","0","","","","","","","","","","T","T","T","Charter","","","","","","","","","","","","Arrowtown","","","",
"Wanaka Public Library","Public","Public Library","Active","","QPWKA","1 Bullock Creek Lane, , Wanaka","1 Bullock Creek Lane, , Wanaka - 9305","libraries.codc-qldc.govt.nz","+64 3 443 0410","+64 3 443 1948","wanaka.library@qldc.govt.nz","","","T","","Sue Gwilliam","","sue.gwilliam@qldc.govt.nz","+64 3 443 1948","+64 3 443 0410","Julie Stretch","","julie.stretch@qldc.govt.nz","","","","","","","","T","T","T","Non-Charter","","","14","","14","No charge unless charged","","14","14","14","14","Wanaka","Otago","-44.6958875234726","169.135376661972",
"Queenstown Resort College Library","Tertiary","Tertiary","Active","","QRC","QRC House, Level 2, 7 Coronation Drive, Queenstown","PO Box 1566, , Queenstown - 9348","www.queenstownresortcollege.com","+64 3 409 0500","+64 4 409 0505","sue.kelly@qrc.ac.nz","","","T","","Sue Kelly","Librarian","sue.kelly@qrc.ac.nz","+64 4 409 0505","+64 3 409 0500","Sue Kelly","Librarian (Interloans)","sue.kelly@qrc.ac.nz","+64 3 409 0500 x 817","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Queenstown","Otago","-45.0333258315268","168.663986966243",
"Rotorua District Choir","Other","Music Hire","Active","","ROCC","4 Jarmey Place, , Rotorua","PO Box 1911, , Rotorua - 3040","","+64 7 348 6477","","mer-bet@xtra.co.nz","Other contact details:
116 Springfield Rd, Rotorua 3015
P: 07 348 5813","","","","ROCC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Rotorua","Bay of Plenty","","",
"Te Wairere Library Learning Centre","Tertiary","Polytechnic","Active","","ROCY","Mokoia Drive, , Rotorua","Private Bag 3028, , Rotorua - 3046","http://waiariki.ac.nz","+64 7 346 8805","+64 7 346 8877","ann-marie.roux@waiariki.ac.nz","","Waiariki Institute of Technology, Malcolm Murchie Library","T","HealthLibs Network","Ann-Marie Roux","Manager Learning Resource Section","ann-marie.roux@waiariki.ac.nz","+64 7 346 8877","+64 7 346 8802","Chris Bite","Electronic Resources & Distance Librarian","chris.bite@waiariki.ac.nz","+64 7 346 8805","","","","","","","T","T","T","Charter","T","14","25","14","25","","","14","30","14","30","Rotorua","Bay of Plenty","-38.1716177377346","176.243316095691",
"Rodney Libraries (SEE AP )","Public","Public Library","SeeRef","","RODP",", , Orewa",", , Orewa -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Orewa","","-36.5867143911627","174.694251980526",
"National Forestry Library, Scion Group","Other","Research","Active","","ROFO","49 Sala Street, , Rotorua","Private Bag 3020, , Rotorua - 3046","www.scionresearch.com","+64 7 343 5847","+64 7 348 0952","library@scionresearch.com","","Scion Group, National Forestry Library","T","","Dina Wickers","Knowledge and Collections Team Leader","","+64 7 348 0952","+64 7 343 5847","Claire Miller","Interloan Librarian","library@scionresearch.com","+64 7 343 5755","","","","","","","T","T","T","Charter","T","15","40","15","30","Charge if charged","","30","50","30","40","Rotorua","Bay of Plenty","-38.1583","176.257",
"Lakes District Health Board Library","Other","Health","Active","","ROM","Pukeroa Street, , Rotorua","Private Bag 3023, , Rotorua - 3046","www.lakesdhb.govt.nz","+64 7 349 7912","+64 7 349 7925","medlib@lakesdhb.govt.nz","","","T","","Janet Arnet","Library Manager","medlib@lakesdhb.govt.nz","+64 7 349 7925","+64 7 349 7912","Sally French","","medlib@lakesdhb.govt.nz","+64 7 349 7912","","","","","","","T","T","T","Charter","T","14","14","14","14","","","25","39","25","39","Rotorua","Bay of Plenty","-38.1344497249672","176.248100508934",
"Rotorua District Library","Public","Public Library","Active","Te Whare o Te Mätauranga","ROP","1127 Haupapa Street, , Rotorua","Private Bag 3029, Rotorua Mail Centre, Rotorua - 3046","www.rotorualibrary.govt.nz","+64 7 3484177","+64 7 348 9686","library@rdc.govt.nz","","","T","","Jane Gilbert","Library Manager","jane.gilbert@rdc.govt.nz","+64 7 348 9686","+64 7 3517022","Alison Leigh","Information Resources Librarian","library@rdc.govt.nz","+64 7 3517025","","","","","","","T","T","T","Charter","T","14","30","14","14","Charge Non-Charter $14 + GST books $5 + GST copies.","+ GST","24","50","24","50","Rotorua","Bay of Plenty","-38.1358810302732","176.252881194158",
"QE Health Library & Information Centre","Other","Health","Active","","ROQM","1073 Whakaue Street, , Rotorua","PO Box 1342, , Rotorua - 3040","www.qehealth.co.nz","+64 7 348 0189","+64 7 348 4266","library@qehealth.co.nz","","Queen Elizabeth Hospital Library & Information Centre","T","","Geraldine Wihapi","Library Manager","gerry.wihapi@qehealth.co.nz","+64 7 348 4266","+64 7 348 0189","Geraldine Wihapi","Library Manager","gerry.wihapi@qehealth.co.nz","+64 7 348 0189","","","","","","","T","F","T","Non-Charter","T","15","15","15","15","No charge to HealthLib members. Charge if charged. Will charge libraries charging above our standard charge the reciprocal amount.","","25","40","25","40","Rotorua","Bay of Plenty","-38.1329157635438","176.254719155306",
"Waimakariri District Libraries, Trevor Inch Memorial Library","Public","public library","Active","","RP","141 Percival Street, , Rangiora","PO Box 386, , Rangiora - 7440","http://waimakariri.kotui.org.nz","+64 3 311 8901","+64 3 313 4650","library@wmk.govt.nz","","Trevor Inch Memorial Library, Waimakariri District Libraries","T","","Phillippa Ashbey","Library Manager","phillippa.ashbey@wmk.govt.nz","+64 3 313 4650","+64 3 311 8976","Nicki Chaston","Interloans and Reference Librarian","nicki.chaston@wmk.govt.nz","+64 3 313 6135","","","","","","","T","T","T","Charter","T","","14","","14","Don't charge.","","","14","","14","Rangiora","Canterbury","-43.304257438536","172.593512158484",
"AgResearch Information Services - Knowledge, Ruakura Research Centre","Other","Research","Active","","RUAG","10 Bisley Rd, Enderley, Hamilton","Private Bag 3123, , Hamilton - 3240","","+64 7 856 2836","+64 7 838 5012","library@agresearch.co.nz","","Ruakura Research Centre, AgResearch Library & Knowledge Services","T","","Megan Symes","Information Resources Coordinator","Megan.Symes@agresearch.co.nz","+64 7 838 5778","+64 7 838 5240","Deirdre Congdon","Librarian","library@agresearch.co.nz","","","","","","","","T","T","T","Charter","T","14","15","14","15","","","20","20","20","20","Hamilton","Waikato","-37.7767","175.293994865778",
"National Army Museum NZ, Kippenberger Research Library","Other","Museum","Active","","RUAM","State Highway 1, , Waiouru","PO Box 45, , Waiouru -","","+64 6 387 6911","+64 6 387 6319","","Reference library only","NZ Defence Force, Kippenberger Military Archive & Research Library","F","","Lucy Alabaster","Librarian","lucy.alabaster@nzdf.mil.nz","+64 6 387 6319","+64 6 387 6911","Lucy Alabaster","Librarian","lucy.alabaster@nzdf.mil.nz","+64 6 387 6911","","","","","","","F","F","F","tba","","","","","","","","","","","","Waiouru","Manawatu-Whanganui","-39.481","175.6699",
"New Zealand Defence Force, Army Training Group Library","Other","Government","Active","","RUAT","Powles Avenue, , Waiouru","Private Bag 1702, , Waiouru - 4861","","+64 6 387 5599 x 7904","+64 6 387 6931","sercowai.msi@xtra.co.nz","","NZ Defence Force, Army Training Group Library","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Waiouru","Manawatu-Whanganui","-39.4719","175.6839",
"Selwyn Library","Public","Public Library","Active","","SELP","C/- Rolleston Library/Service Centre, PO Box 90, Rolleston","Darfield Library, 1 South Terrace, Darfield - 7510","http://selwyn.kotui.org.nz","+64 3 347 2880","","selwyn.library@selwyn.govt.nz","","","T","","Glen Walker","Library Manager","glen.walker@selwyn.govt.nz","","+64 3 347 2883","Fay (Mon. to Fri) McOscar","Interloans Enquiries","fay.mcoscar@selwyn.govt.nz","+64 3 347 2880","","","","","","","T","T","T","Charter","T","14","14","10","14","","","20","34","20","30","Rolleston","","-43.4888534973088","172.108845869377",
"Southern DHB Library","Other","Health","Active","","SM","Southland Hospital Library, Kew Road, Invercargill","PO Box 828, , Invercargill - 9840","http://www.southerndhb.govt.nz","+64 3 218 1949 x8608","+64 3 214 5742","frances.harrington@southerndhb.govt.nz","","","T","HealthLibs Network","Frances Harrington","Librarian, Southern DHB","frances.harrington@southerndhb.govt.nz","+64 3 214 5742","03 218 1949 x8608","Frances Harrington","Librarian, Southern DHB","frances.harrington@southerndhb.govt.nz","03 218 1949 x8608","","","","","","","T","T","T","Charter","T","14","30","14","20","Free and without urgent charges to HealthLib and Otago/Southland libraries. SM seeks reciprocal for supply. Our charge to libraries who charge is the same as they charge SM","","20","50","20","34","Invercargill","Southland","","",
"SOUNZ; Centre for New Zealand Music","Other","Music Hire","Active","","SOUNZ","Level 3, Toi Poneke Arts Centre, 61 Abel Smith Street, Wellington","PO Box 27347, Marion Square, Wellington - 6141","http://www.sounz.org.nz","+64 4 801 8602","+64 4 801 8604","info@sounz.org.nz","Other Contact: Hayden Sinclair, Collection Coordinator, Julie Sperring, Executive Director","","","","SOUNZ Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Wellington","Wellington","","",
